분류(ID),항로명,변침점순번,위도(LAT),경도(LON),변침점명,기항지명
C01-01-1,부산-제주(1항로),1,35.1024,129.043,부산,부산
C01-01-1,부산-제주(1항로),3,35.1083,129.0592,No.9 부이,
C01-01-1,부산-제주(1항로),4,35.0783,129.11,조도방파제,
C01-01-1,부산-제주(1항로),5,35.0333,129.136,생도,
C01-01-1,부산-제주(1항로),6,34.6443,128.7829,,
C01-01-1,부산-제주(1항로),7,34.55,128.6167,통영 TSS,
C01-01-1,부산-제주(1항로),9,34.25,127.8667,간여암,
C01-01-1,부산-제주(1항로),10,33.9667,127.35,역-거문도,
C01-01-1,부산-제주(1항로),11,33.5332,126.5429,제주항 입구,
C01-01-1,부산-제주(1항로),12,33.5258,126.538,제주항,제주
C01-01-2,부산-제주(1항로),1,33.5258,126.538,제주항,제주
C01-01-2,부산-제주(1항로),2,33.5332,126.5429,제주항 입구,
C01-01-2,부산-제주(1항로),3,33.9667,127.35,역-거문도,
C01-01-2,부산-제주(1항로),4,34.4333,128.5,역-고암,
C01-01-2,부산-제주(1항로),5,34.6,128.7833,역-홍도 TSS,
C01-01-2,부산-제주(1항로),6,35.0545,129.1484,,
C01-01-2,부산-제주(1항로),7,35.0698,129.147,역-부산항 No.1 P/S,
C01-01-2,부산-제주(1항로),8,35.0783,129.11,조도방파제,
C01-01-2,부산-제주(1항로),9,35.1083,129.0592,No.9 부이,
C01-01-2,부산-제주(1항로),11,35.1024,129.043,부산,부산
C01-02-1,부산-제주(2항로),1,35.1024,129.043,부산,부산
C01-02-1,부산-제주(2항로),3,35.1083,129.0592,No.9 부이,
C01-02-1,부산-제주(2항로),4,35.0783,129.11,조도방파제,
C01-02-1,부산-제주(2항로),5,35.0333,129.136,생도,
C01-02-1,부산-제주(2항로),6,34.8667,128.9667,남형제도,
C01-02-1,부산-제주(2항로),7,34.6,128.55,소매물도,
C01-02-1,부산-제주(2항로),8,34.14,127.355,역만도,
C01-02-1,부산-제주(2항로),9,34.13,127.2305,거문도TSS출구,
C01-02-1,부산-제주(2항로),10,34.0098,127.0826,,
C01-02-1,부산-제주(2항로),11,33.5332,126.5429,제주항 입구,
C01-02-1,부산-제주(2항로),12,33.5258,126.538,제주항,제주
C01-02-2,부산-제주(2항로),1,33.5258,126.538,제주항,제주
C01-02-2,부산-제주(2항로),2,33.5332,126.5429,제주항 입구,
C01-02-2,부산-제주(2항로),3,34.0987,127.2344,거문TSS 진입,
C01-02-2,부산-제주(2항로),4,34.1083,127.3667,대삼부도,
C01-02-2,부산-제주(2항로),5,34.2475,127.8702,간여 남단,
C01-02-2,부산-제주(2항로),6,34.5871,128.6172,,
C01-02-2,부산-제주(2항로),8,34.8667,128.9667,남형제도,
C01-02-2,부산-제주(2항로),9,35.0545,129.1484,,
C01-02-2,부산-제주(2항로),10,35.0698,129.147,역-부산항 No.1 P/S,
C01-02-2,부산-제주(2항로),11,35.0783,129.11,조도방파제,
C01-02-2,부산-제주(2항로),12,35.1083,129.0592,No.9 부이,
C01-02-2,부산-제주(2항로),13,35.1024,129.043,부산,부산
D01-01-1,인천-제주,1,37.4557,126.598,인천 연안여객부두,인천
D01-01-1,인천-제주,2,37.4562,126.5908,인천 진입,
D01-01-1,인천-제주,3,37.4543,126.5812,,
D01-01-1,인천-제주,4,37.4185,126.5703,인천대교,
D01-01-1,인천-제주,5,37.3501,126.5155,팔미도,
D01-01-1,인천-제주,6,37.338,126.3935,,
D01-01-1,인천-제주,7,37.3261,126.3375,,
D01-01-1,인천-제주,8,37.2729,126.2482,,
D01-01-1,인천-제주,9,37.2021,126.2016,소야도,
D01-01-1,인천-제주,10,37.1558,126.1657,,
D01-01-1,인천-제주,11,37.0041,126.0701,,
D01-01-1,인천-제주,12,36.7794,125.9579,가대암,
D01-01-1,인천-제주,13,36.729,125.9186,흑도,
D01-01-1,인천-제주,14,36.6384,125.906,,
D01-01-1,인천-제주,15,35.0079,125.6327,,
D01-01-1,인천-제주,16,34.5243,125.5652,TSS,
D01-01-1,인천-제주,17,34.1321,125.6239,TSS,
D01-01-1,인천-제주,18,34.0647,125.7379,,
D01-01-1,인천-제주,19,33.6985,126.3255,화도,
D01-01-1,인천-제주,20,33.543,126.5417,,
D01-01-1,인천-제주,21,33.5332,126.5429,제주항 입구,
D01-01-1,인천-제주,22,33.5258,126.538,제주항,제주
D01-01-2,인천-제주,1,33.5258,126.538,제주항,제주
D01-01-2,인천-제주,3,33.5332,126.5429,제주항 입구,
D01-01-2,인천-제주,4,33.543,126.5417,,
D01-01-2,인천-제주,5,33.6983,126.3255,,
D01-01-2,인천-제주,6,34.1125,125.7631,,
D01-01-2,인천-제주,7,34.1601,125.676,,
D01-01-2,인천-제주,8,34.5185,125.6233,,
D01-01-2,인천-제주,10,36.6298,125.9486,,
D01-01-2,인천-제주,11,36.7169,125.9647,,
D01-01-2,인천-제주,12,36.766,125.9957,,
D01-01-2,인천-제주,13,36.9665,126.114,,
D01-01-2,인천-제주,14,37.0855,126.282,,
D01-01-2,인천-제주,15,37.1197,126.3212,,
D01-01-2,인천-제주,16,37.1532,126.3372,,
D01-01-2,인천-제주,17,37.1748,126.371,,
D01-01-2,인천-제주,18,37.2214,126.415,,
D01-01-2,인천-제주,19,37.2718,126.4134,,
D01-01-2,인천-제주,20,37.3364,126.4661,,
D01-01-2,인천-제주,21,37.3455,126.5182,,
D01-01-2,인천-제주,22,37.3785,126.5428,,
D01-01-2,인천-제주,23,37.4185,126.5703,인천대교,
D01-01-2,인천-제주,24,37.4543,126.5812,,
D01-01-2,인천-제주,25,37.4562,126.5908,인천 진입,
D01-01-2,인천-제주,26,37.4557,126.598,인천 연안여객부두,인천
D01-02-1,제주-인천,1,37.4557,126.598,인천 연안여객부두,인천
D01-02-1,제주-인천,2,37.4562,126.5908,인천 진입,
D01-02-1,제주-인천,3,37.4543,126.5812,,
D01-02-1,제주-인천,4,37.4185,126.5703,인천대교,
D01-02-1,제주-인천,5,37.3501,126.5155,팔미도,
D01-02-1,제주-인천,6,37.338,126.3935,,
D01-02-1,제주-인천,7,37.3261,126.3375,,
D01-02-1,제주-인천,8,37.2729,126.2482,,
D01-02-1,제주-인천,9,37.2021,126.2016,소야도,
D01-02-1,제주-인천,10,37.1558,126.1657,,
D01-02-1,제주-인천,11,37.0041,126.0701,,
D01-02-1,제주-인천,12,36.7794,125.9579,가대암,
D01-02-1,제주-인천,13,36.729,125.9186,흑도,
D01-02-1,제주-인천,14,36.6384,125.906,,
D01-02-1,제주-인천,16,34.5243,125.5652,TSS,
D01-02-1,제주-인천,17,34.1321,125.6239,TSS,
D01-02-1,제주-인천,18,34.0647,125.7379,,
D01-02-1,제주-인천,19,33.6985,126.3255,화도,
D01-02-1,제주-인천,20,33.543,126.5417,,
D01-02-1,제주-인천,21,33.5332,126.5429,제주항 입구,
D01-02-1,제주-인천,22,33.5258,126.538,제주항,제주
D01-02-2,제주-인천,1,33.5258,126.538,제주항,제주
D01-02-2,제주-인천,3,33.5332,126.5429,제주항 입구,
D01-02-2,제주-인천,4,33.543,126.5417,,
D01-02-2,제주-인천,5,33.6983,126.3255,,
D01-02-2,제주-인천,6,34.1125,125.7631,,
D01-02-2,제주-인천,7,34.1601,125.676,,
D01-02-2,제주-인천,8,34.5185,125.6233,,
D01-02-2,제주-인천,10,36.6298,125.9486,,
D01-02-2,제주-인천,11,36.7169,125.9647,,
D01-02-2,제주-인천,12,36.766,125.9957,,
D01-02-2,제주-인천,13,36.9665,126.114,,
D01-02-2,제주-인천,14,37.0855,126.282,,
D01-02-2,제주-인천,15,37.1197,126.3212,,
D01-02-2,제주-인천,16,37.1532,126.3372,,
D01-02-2,제주-인천,17,37.1748,126.371,,
D01-02-2,제주-인천,18,37.2214,126.415,,
D01-02-2,제주-인천,19,37.2718,126.4134,,
D01-02-2,제주-인천,20,37.3364,126.4661,,
D01-02-2,제주-인천,21,37.3455,126.5182,,
D01-02-2,제주-인천,22,37.3785,126.5428,,
D01-02-2,제주-인천,23,37.4185,126.5703,인천대교,
D01-02-2,제주-인천,24,37.4543,126.5812,,
D01-02-2,제주-인천,25,37.4562,126.5908,인천 진입,
D01-02-2,제주-인천,26,37.4557,126.598,인천 연안여객부두,인천
D02-01-1,인천-백령,1,37.4557,126.598,인천 연안여객부두,인천
D02-01-1,인천-백령,2,37.4562,126.5908,인천 진입,
D02-01-1,인천-백령,3,37.4163,126.5612,,
D02-01-1,인천-백령,4,37.3545,126.4447,해녀 남단,
D02-01-1,인천-백령,5,37.3375,126.2767,초치도,
D02-01-1,인천-백령,6,37.3333,125.7667,A,
D02-01-1,인천-백령,7,37.3333,125.45,B,
D02-01-1,인천-백령,8,37.3333,125.2833,C,
D02-01-1,인천-백령,9,37.5008,124.8339,D,
D02-01-1,인천-백령,10,37.7591,124.7111,,
D02-01-1,인천-백령,11,37.7812,124.7367,,
D02-01-1,인천-백령,12,37.7783,124.7464,소청도,소청도
D02-01-1,인천-백령,13,37.8309,124.7205,대청도 입구,
D02-01-1,인천-백령,14,37.8285,124.7164,대청도,대청도
D02-01-1,인천-백령,15,37.8309,124.7205,대청도 입구,
D02-01-1,인천-백령,16,37.8423,124.7366,,
D02-01-1,인천-백령,17,37.9553,124.7374,백령도,백령도
D02-01-2,인천-백령,1,37.9553,124.7374,백령도,백령도
D02-01-2,인천-백령,2,37.8423,124.7366,,
D02-01-2,인천-백령,3,37.8285,124.7164,대청도,대청도
D02-01-2,인천-백령,4,37.8309,124.7205,대청도 입구,
D02-01-2,인천-백령,5,37.7783,124.7464,소청도,소청도
D02-01-2,인천-백령,6,37.7812,124.7367,,
D02-01-2,인천-백령,7,37.7591,124.7111,,
D02-01-2,인천-백령,8,37.5008,124.8339,D,
D02-01-2,인천-백령,9,37.3333,125.2833,C,
D02-01-2,인천-백령,10,37.3333,125.45,B,
D02-01-2,인천-백령,11,37.3333,125.7667,A,
D02-01-2,인천-백령,12,37.3375,126.2767,초치도,
D02-01-2,인천-백령,13,37.3545,126.4447,해녀 남단,
D02-01-2,인천-백령,14,37.4163,126.5612,,
D02-01-2,인천-백령,15,37.4562,126.5908,인천 진입,
D02-01-2,인천-백령,16,37.4557,126.598,인천 연안여객부두,인천
D04-04-1,인천덕적(직항순환),1,37.4557,126.598,인천 연안여객부두,인천
D04-04-1,인천덕적(직항순환),2,37.4562,126.5908,인천 진입,
D04-04-1,인천덕적(직항순환),3,37.4142,126.5582,인천대교,
D04-04-1,인천덕적(직항순환),4,37.3545,126.4447,해녀 남단,
D04-04-1,인천덕적(직항순환),5,37.3261,126.3375,,
D04-04-1,인천덕적(직항순환),7,37.2328,126.1732,덕적 진입,
D04-04-1,인천덕적(직항순환),8,37.2263,126.1565,진리(덕적),진리(덕적)
D04-04-1,인천덕적(직항순환),9,37.2328,126.1732,덕적 진입,
D04-04-1,인천덕적(직항순환),10,37.3261,126.3375,,
D04-04-1,인천덕적(직항순환),11,37.3545,126.4447,해녀 남단,
D04-04-1,인천덕적(직항순환),12,37.4142,126.5582,인천대교,
D04-04-1,인천덕적(직항순환),13,37.4562,126.5908,인천 진입,
D04-04-1,인천덕적(직항순환),14,37.4557,126.598,인천 연안여객부두,인천
D04-04-2,인천덕적(직항순환),1,37.4557,126.598,인천 연안여객부두,인천
D04-04-2,인천덕적(직항순환),2,37.4562,126.5908,인천 진입,
